ticker,name,breakout_date,high_52w,breakout_price,market_type,market_cap,breakout_pct,volume_surge,close_strength,base_length,volatility_contraction,volume_dry_up,ma200_slope,pct_above_52w_low,rs_vs_market,market_return,ma20_deviation,liquidity,days_since_ath,atr_ratio,max_gain_20d,max_drawdown_20d,gain_at_day_20,label,market_regime,market_ma200_dist
14620,성광벤드,2024-11-19,16540,16910,KOSDAQ,8326,2.237,3.2421,0.9333,58,0.4375,2.5092,0.019218,66.601,34.12,-7.0726,0.1935,9322897686.0,539,0.054828,40.75,-0.65,38.97,1,0,-15.9432
158430,아톤,2024-11-19,4800,6090,KOSDAQ,1750,26.875,40.318,1.0,232,0.9214,6.7331,0.000898,96.4516,54.1741,-7.0726,0.4075,34702859722.0,706,0.065506,5.75,-19.87,1.15,0,0,-15.9432
51600,한전KPS,2024-11-19,45350,46200,KOSPI,24435,1.8743,1.021,0.8621,22,0.8806,0.8381,0.029083,39.577,6.8514,-3.8414,0.0322,8402768380.0,849,0.032622,5.19,-10.61,-2.38,0,0,-7.2265
92790,넥스틸,2024-11-19,11370,11810,KOSPI,2761,3.8698,3.7889,0.9216,101,0.5831,3.1677,0.035794,80.8576,29.4797,-3.8414,0.1849,18421577892.0,101,0.068223,-1.1,-39.12,-30.31,0,0,-7.2265
32640,LG유플러스,2024-11-20,10500,10570,KOSPI,68085,0.6667,2.984,0.9545,236,1.0,1.1645,0.00055,11.1462,11.281,-4.5134,0.0508,13506428070.0,848,0.015272,12.58,1.8,3.78,1,0,-6.8407
365330,에스와이스틸텍,2024-11-21,7158,7167,KOSDAQ,1774,0.1257,2.9531,0.2655,2,0.699,1.6173,0.088323,301.0632,61.9013,-7.3401,0.3577,160313000000.0,2,0.0918,4.81,-25.63,4.81,0,0,-16.4593
33500,동성화인텍,2024-11-22,13880,14190,KOSDAQ,7992,2.2334,7.4415,0.8092,78,0.7778,2.8023,0.000851,32.246,38.806,-6.9287,0.198,10474943122.0,328,0.050438,6.13,-8.88,3.45,0,0,-16.8267
30200,KT,2024-11-22,44400,44500,KOSPI,139368,0.2252,0.9442,0.3158,9,0.9176,1.3333,0.02516,35.2584,3.8542,-3.1754,0.0301,44537543750.0,9,0.036116,10.11,-1.46,0.45,1,0,-6.1353
3610,방림,2024-11-22,3560,3620,KOSPI,2167,1.6854,1.6268,0.6735,34,0.7727,0.7171,0.04323,86.0226,12.376,-3.1754,0.0753,352588203.0,488,0.044594,30.8,-5.39,23.76,1,0,-6.1353
83650,비에이치아이,2024-11-22,17920,19100,KOSDAQ,21568,6.5848,5.4052,0.6952,3,0.5931,2.9746,0.065773,188.9561,78.2291,-6.9287,0.3708,159667000000.0,3,0.089043,-3.19,-32.15,-23.82,0,0,-16.8267
