ticker,name,market_cap,breakout_date,resistance,support,breakout_close,max_gain_20d,success,box_range_pct,breakout_strength,volume_surge,volume_dry_up,close_strength,volatility_contraction,ma20_deviation,breakout_gap,ma200_slope,pct_above_52w_low,days_since_ath,market_return,rs_vs_market,atr_ratio,liquidity
138040,메리츠금융지주,19553447286100,2021-02-10,10550,9540,10750,30.7,1,10.587,1.8957,1.6212,0.9172,1.0,0.9393,9.8228,0.9569,0.5207,93.3453,274,-1.5154,10.7634,1.7608,3366151046
138040,메리츠금융지주,19553447286100,2021-02-15,10750,9540,11150,26.01,1,12.6834,3.7209,1.8412,0.9624,0.4444,1.3366,13.3821,2.3256,0.4133,100.5396,279,-0.093,12.7193,1.7873,3798289454
138040,메리츠금융지주,19553447286100,2021-02-22,11300,9540,11800,25.42,1,18.4486,4.4248,1.6771,1.391,0.8,2.5278,15.9306,0.885,0.4562,112.2302,7,-2.5655,23.8399,2.2397,3005795520
138040,메리츠금융지주,19553447286100,2021-02-23,11800,9540,12250,22.86,1,23.6897,3.8136,1.2316,1.5172,0.9286,2.8177,19.1402,2.1186,0.5826,120.3237,1,-2.246,28.5347,2.3673,3090382110
138040,메리츠금융지주,19553447286100,2021-12-21,36750,31950,37900,47.49,1,15.0235,3.1293,1.6888,2.4727,0.4348,1.5805,9.3716,0.5442,10.5011,301.0582,102,-0.744,8.7212,4.7493,13550511650
138040,메리츠금융지주,19553447286100,2021-12-22,37900,31950,39100,42.97,1,18.6228,3.1662,0.9116,2.5864,0.7442,1.7062,12.3805,-0.9235,10.4399,313.7566,103,-0.3276,8.0411,4.8319,16004037760
138040,메리츠금융지주,19553447286100,2021-12-24,39100,31950,40600,37.68,1,22.3787,3.8363,1.0888,1.8208,0.9,1.9097,15.6778,-0.5128,10.3216,329.6296,1,2.5878,9.722,4.7942,16865543630
138040,메리츠금융지주,19553447286100,2023-07-21,47150,41150,48000,6.46,0,14.5808,1.8028,1.5147,0.8937,0.7692,1.6188,11.0597,0.2121,4.8638,140.6015,183,1.5431,12.6067,2.7976,28259971040
138040,메리츠금융지주,19553447286100,2023-07-25,48000,41150,48950,5.82,0,16.6464,1.9792,1.6665,0.8475,0.6765,1.774,11.7325,0.3138,5.241,145.3634,187,2.1333,16.5333,2.7798,29855281980
138040,메리츠금융지주,19553447286100,2024-01-16,59500,47900,61100,20.13,1,24.2171,2.6891,1.5848,0.6098,0.6471,0.3539,5.9936,-0.6723,3.1941,61.6402,1,-1.8312,7.9076,2.8642,13558071760
138040,메리츠금융지주,19553447286100,2024-01-29,63000,51000,64300,35.77,1,23.5294,2.0635,1.8849,0.8989,0.5,0.8395,8.2947,0.6349,3.7722,67.2302,3,-5.8235,14.6221,2.6216,22584858720
138040,메리츠금융지주,19553447286100,2024-08-16,84400,73100,88800,8.67,0,15.4583,5.2133,3.2417,1.1507,0.7083,0.7851,9.0708,1.6667,4.1081,88.1356,154,-4.5009,14.538,3.6116,23443588660
138040,메리츠금융지주,19553447286100,2024-08-19,88800,73100,91000,6.04,0,21.4774,2.4775,1.3935,1.4082,0.8636,0.9263,11.2198,0.4505,4.1858,92.7966,3,-4.332,14.6351,3.7363,37553964840
138040,메리츠금융지주,19553447286100,2024-08-20,91000,73100,92500,4.86,0,24.487,1.6484,0.9484,1.4737,0.8947,1.0912,12.4688,0.6593,4.2721,95.9746,1,-2.4201,15.3627,3.529,44009675920
138040,메리츠금융지주,19553447286100,2025-01-13,106100,97300,109100,8.52,0,9.0442,2.8275,1.8838,0.9477,0.8519,1.5371,7.0342,0.0,2.4081,94.4742,84,1.9263,5.0345,2.6385,24672464680
138040,메리츠금융지주,19553447286100,2025-01-16,109200,97300,111200,8.9,0,12.2302,1.8315,0.9264,0.928,0.92,2.0708,7.9507,0.8326,2.4405,97.5133,1,1.5476,11.4605,2.5244,31558106380
138040,메리츠금융지주,19553447286100,2025-01-31,111800,97300,114200,11.38,0,14.9024,2.1467,1.3954,0.8386,1.0,1.5361,6.9439,3.3852,2.8061,94.8805,11,3.6095,11.744,2.308,20967425760
138040,메리츠금융지주,19553447286100,2025-02-14,114200,97300,117700,8.24,0,17.369,3.0648,1.263,0.9174,0.8333,0.7294,6.0743,0.7011,3.2995,81.3559,2,4.0766,3.8061,2.5185,24493165880
138040,메리츠금융지주,19553447286100,2025-02-17,117700,97300,119500,6.61,0,20.9661,1.5293,0.8019,0.88,1.0,0.8415,7.2807,0.0,3.3879,78.0924,3,4.5255,4.9067,2.5822,27827343800
138040,메리츠금융지주,19553447286100,2025-02-20,119500,97300,123000,3.58,0,22.816,2.9289,1.6469,0.9104,0.6875,1.0168,8.9798,0.5025,3.6341,83.3085,2,5.1717,4.8462,2.6655,29208319440
267250,HD현대,19511291995000,2019-09-10,67600,59900,68700,5.39,0,12.8548,1.6272,1.3544,0.9692,0.7368,1.3002,7.2097,0.0,0.0,16.8367,225,4.6229,7.8157,2.2773,1361108100
267250,HD현대,19511291995000,2019-09-11,68700,59900,69800,3.72,0,14.6912,1.6012,1.6334,0.9288,0.8182,1.2808,8.2842,1.8923,0.0,18.7075,226,6.4061,9.3485,2.2619,1609983820
267250,HD현대,19511291995000,2019-09-16,69800,59900,71100,1.83,0,16.5275,1.8625,2.3329,0.9965,0.4,1.2285,9.4941,2.0057,0.0,20.9184,231,6.3894,11.5211,2.2205,1922280440
267250,HD현대,19511291995000,2022-04-13,55500,46000,57300,3.66,0,20.6522,3.2432,1.781,0.8394,1.0,0.5294,6.5551,0.9025,-3.0553,0.0,341,2.1533,7.1979,1.6455,7796257580
267250,HD현대,19511291995000,2022-05-17,59800,48800,60900,8.37,0,22.541,1.8395,1.394,1.1239,1.0,0.2074,3.8452,0.0,-1.8467,33.8462,370,-2.702,7.1617,1.8883,12190554680
267250,HD현대,19511291995000,2022-05-31,61400,51400,62500,5.6,0,19.4553,1.7915,4.675,1.1128,0.931,0.3729,5.7977,0.0,-1.6143,37.3626,361,-0.0577,7.6308,1.9429,8642145080
267250,HD현대,19511291995000,2022-06-08,63700,51400,65100,1.38,0,23.93,2.1978,1.4201,1.3866,0.875,0.6377,8.5452,0.314,-1.478,43.0769,369,0.5876,9.3787,1.9969,20773329900
267250,HD현대,19511291995000,2023-06-19,61300,56500,63400,0.79,0,8.4956,3.4258,1.7587,1.3874,0.9545,0.9802,7.1942,0.4894,0.1713,27.1815,187,3.741,6.1377,1.7012,15000618300
267250,HD현대,19511291995000,2023-09-08,63800,57800,67500,11.85,0,10.3806,5.7994,5.8,1.321,0.9792,0.8547,12.9518,-0.314,-0.2189,26.6417,268,-2.0711,11.2944,1.7566,16097859860
267250,HD현대,19511291995000,2023-09-11,67500,57800,70800,3.67,0,16.782,4.8889,10.6166,1.9118,0.3088,1.3664,17.9116,1.7778,-0.2295,32.833,3,-1.3268,15.8899,2.0682,26479124960
267250,HD현대,19511291995000,2024-01-15,64300,57400,67700,11.23,0,12.0209,5.2877,2.5893,0.9365,0.8235,0.9142,7.8111,1.3997,0.7548,23.766,126,0.6106,9.4707,2.6377,13710161320
267250,HD현대,19511291995000,2024-01-31,68300,58100,71400,5.46,0,17.5559,4.5388,2.0843,1.0292,0.913,1.2732,9.1409,0.1464,1.3453,27.957,142,-4.2273,19.5747,3.1513,16779777460
267250,HD현대,19511291995000,2024-02-05,72000,58100,73600,0.95,0,23.9243,2.2222,2.4877,1.3981,0.7536,1.5571,10.3366,-0.7102,1.5373,31.8996,147,0.9148,15.9106,3.29,34077009520
267250,HD현대,19511291995000,2024-06-25,72400,60500,74000,11.49,0,19.6694,2.2099,0.9402,0.9154,1.0,0.4877,6.921,0.9669,1.3009,30.0527,288,1.8876,7.742,2.3263,18077948620
267250,HD현대,19511291995000,2024-07-11,75000,60500,77000,10.39,0,23.9669,2.6667,2.3653,0.7587,0.9189,0.7968,6.5228,0.8186,1.7375,35.3251,304,4.9534,6.1577,2.3562,11426772620
267250,HD현대,19511291995000,2025-01-02,82600,71800,85600,1.52,0,15.0418,3.632,2.6359,0.9741,0.8611,0.5312,8.3544,1.0101,1.181,44.1077,154,-2.2628,13.4316,2.7453,12141540100
