ticker,name,event_date,high_52w,event_price,market_type,market_cap,gap_pct,resistance_tests,days_since_high,momentum_5d,volume_ratio,volume_trend,volatility_contraction,atr_pct,ma_alignment,trend_strength,rs_vs_market,market_return,pct_from_52w_low,broke_through_10d,max_gain_20d,days_to_breakout
004800,효성,2024-11-06,53846,51300,KOSPI,25161.0,-4.7283,5,109,4.0568,0.8708,1.0327,0.5631,2.2139,4,3.1369,7.4003,-1.1891,0.0,0,2.92,-1
005940,NH투자증권,2024-11-06,14400,13750,KOSPI,101380.0,-4.5139,26,62,-0.8652,0.7928,1.0455,1.0611,2.0416,2,0.6006,0.9714,-1.1891,42.487,0,5.67,-1
005720,넥센,2024-11-07,4900,4660,KOSPI,3721.0,-4.898,17,86,2.3052,0.6651,1.1154,0.9135,2.4601,2,-0.5002,5.3464,-1.3285,21.5124,0,1.72,-1
003300,한일홀딩스,2024-11-08,14570,14120,KOSPI,5017.0,-3.0885,34,47,0.9292,0.2571,0.3967,1.0922,2.2258,3,0.6674,8.1042,-1.377,33.7121,0,4.82,-1
008060,대덕,2024-11-08,6770,6500,KOSPI,3762.0,-3.9882,0,152,4.8387,10.3868,2.047,1.8318,1.3297,2,-0.9871,6.2157,-1.377,8.5142,0,4.46,-1
103590,일진전기,2024-11-08,30250,28850,KOSPI,32569.0,-4.6281,0,109,14.7117,1.0501,1.4046,0.746,5.5707,3,0.0698,36.823,-1.377,180.3693,0,3.99,-1
042660,한화오션,2024-11-08,36400,36200,KOSPI,401095.0,-0.5495,0,131,35.0746,11.3557,2.8895,2.0338,4.6073,3,-0.3757,18.719,-1.377,71.9715,1,13.4,1
453340,현대그린푸드,2024-11-08,13580,13090,KOSPI,5202.0,-3.6082,0,97,10.371,3.4993,2.7816,1.6271,2.0736,2,-0.8872,12.592,-1.377,30.2488,0,7.56,-1
272210,한화시스템,2024-11-08,23400,23200,KOSPI,191375.0,-0.8547,0,66,32.7991,3.9461,1.9396,1.6976,4.4766,3,-1.1536,30.7691,-1.377,84.127,1,30.17,1
00680K,미래에셋증권2우B,2024-11-08,4170,4040,KOSPI,23208.0,-3.1175,27,176,1.2531,1.3804,1.2931,0.6955,1.2995,4,2.7056,2.8846,-1.377,17.1014,0,3.22,-1
267260,HD현대일렉트릭,2024-11-08,374500,363500,KOSPI,338483.0,-2.9372,0,70,12.7132,1.4593,1.2113,0.7432,5.4235,4,1.4763,19.3965,-1.377,393.8859,1,13.76,1
241590,화승엔터프라이즈,2024-11-08,10160,9720,KOSPI,3405.0,-4.3307,0,112,7.4033,2.3183,1.0754,1.2448,4.0564,3,5.0013,15.8647,-1.377,47.7204,0,0.1,-1
010140,삼성중공업,2024-11-11,12280,11820,KOSPI,245080.0,-3.7459,0,69,23.8994,5.4096,2.356,1.3831,3.3539,3,-2.695,23.1286,-3.4929,72.0524,1,3.98,10
082740,한화엔진,2024-11-11,17160,16390,KOSPI,45479.0,-4.4872,0,71,19.635,5.0913,1.7981,1.2846,5.051,2,1.3049,14.2362,-3.4929,115.6579,1,11.9,10
090850,현대이지웰,2024-11-11,6570,6450,KOSDAQ,1270.0,-1.8265,0,109,22.3909,10.7656,2.3579,1.5812,4.0144,1,-1.9043,33.3536,-5.3774,31.3646,0,0.47,-1
009680,모토닉,2024-11-11,8980,8660,KOSPI,2937.0,-3.5635,52,88,0.0,0.5744,0.6051,0.4666,0.9815,2,0.2891,2.1262,-3.4929,9.2055,0,1.04,-1
329180,HD현대중공업,2024-11-11,222500,212000,KOSPI,560493.0,-4.7191,2,59,21.1429,1.565,2.1126,1.7127,4.5283,4,0.6908,17.6556,-3.4929,107.4364,1,15.33,5
127120,제이에스링크,2024-11-12,4070,3905,KOSDAQ,9363.0,-4.0541,0,21,11.8911,2.1857,1.5635,0.9529,5.1765,4,3.4306,11.7599,-8.179,120.0,0,14.98,-1
00088K,한화3우B,2024-11-12,16210,15420,KOSPI,8984.0,-4.8735,24,67,3.006,3.8783,2.3379,0.9723,1.5333,3,-0.896,5.7294,-5.7294,16.202,0,3.44,-1
100790,미래에셋벤처투자,2024-11-13,7330,7000,KOSDAQ,12670.0,-4.502,0,179,53.1729,35.3503,3.9361,2.2029,5.9388,1,-2.4999,48.0097,-9.9427,58.7302,0,4.14,-1
051600,한전KPS,2024-11-14,47450,45100,KOSPI,26235.0,-4.9526,3,78,0.6696,0.8852,0.8795,1.1336,3.1359,3,4.66,9.3347,-7.2985,36.8741,1,8.87,5
105550,엣지파운드리,2024-11-14,3040,2975,KOSDAQ,1202.0,-2.1382,0,112,20.4453,6.872,2.1371,1.6556,6.6387,3,3.4438,38.8712,-10.9142,48.8244,1,34.29,1
064350,현대로템,2024-11-15,68000,64800,KOSPI,218285.0,-4.7059,4,20,2.6941,0.8407,1.0681,0.7425,4.4643,4,10.2757,6.5147,-6.8224,160.241,1,7.25,3
034950,한국기업평가,2024-11-15,89800,86000,KOSDAQ,4441.0,-4.2316,27,117,0.3501,1.8243,1.4378,0.6941,1.1213,2,-0.1171,10.1778,-9.0014,17.8082,0,3.95,-1
065710,서호전기,2024-11-15,22050,21050,KOSDAQ,2673.0,-4.5351,28,128,-0.4728,1.2518,1.3459,1.3139,1.6797,3,3.3089,7.8276,-9.0014,18.8594,1,9.98,6
032640,LG유플러스,2024-11-15,10550,10030,KOSPI,68859.0,-4.9289,6,216,0.804,0.87,1.1239,1.3063,1.2747,3,0.4454,7.9312,-6.8224,5.4679,1,19.74,3
005945,NH투자증권우,2024-11-18,12250,11920,KOSPI,4463.0,-2.6939,60,164,0.1681,0.8269,1.2508,1.3594,1.0127,3,0.5842,4.1363,-5.2151,32.4444,0,4.78,-1
012330,현대모비스,2024-11-18,270000,258500,KOSPI,396501.0,-4.2593,1,163,1.5717,0.9704,1.0706,1.1167,3.302,3,4.6699,11.1578,-5.2151,30.5556,0,0.97,-1
035000,HS애드,2024-11-18,6600,6420,KOSPI,1384.0,-2.7273,60,118,-1.5337,2.1679,1.6349,1.7234,1.5465,3,0.9568,5.6846,-5.2151,9.3697,0,0.62,-1
100840,SNT에너지,2024-11-18,16100,15710,KOSPI,9079.0,-2.4224,0,87,6.7255,5.6711,1.7555,1.5748,6.479,4,3.991,23.2467,-5.2151,118.1944,1,26.54,1
005990,매일홀딩스,2024-11-19,8690,8410,KOSDAQ,1438.0,-3.2221,51,238,0.2384,0.9712,1.2213,0.8692,1.4014,4,0.5683,7.311,-7.0726,13.1898,0,2.85,-1
204610,티쓰리,2024-11-19,1521,1459,KOSDAQ,1070.0,-4.0763,1,233,12.2308,2.8601,1.5298,1.458,3.9557,2,6.0177,11.2869,-7.0726,44.8858,1,9.66,9
092790,넥스틸,2024-11-19,12360,11810,KOSPI,2910.0,-4.4498,0,101,10.2708,2.1168,0.8432,1.4692,6.8223,3,5.0045,29.4797,-3.8414,83.3851,0,4.66,-1
003610,방림,2024-11-19,3680,3515,KOSPI,2392.0,-4.4837,2,30,3.9941,2.3485,0.9725,0.848,4.0236,4,8.1403,16.5016,-3.8414,84.5144,1,39.12,3
094800,맵스리얼티,2024-11-20,4625,4420,KOSPI,5440.0,-4.4324,51,33,3.5129,1.0593,0.8169,1.7914,2.012,2,0.7524,1.6562,-4.5134,13.3333,0,2.6,-1
002960,한국쉘석유,2024-11-20,354500,339500,KOSPI,5870.0,-4.2313,7,72,2.568,0.5556,0.9886,1.3043,2.5247,4,0.2639,10.4416,-4.5134,52.2422,0,3.68,-1
072870,메가스터디,2024-11-20,11840,11270,KOSDAQ,1342.0,-4.8142,17,219,2.0833,1.0164,1.4118,1.1368,0.9507,2,-0.3081,10.5335,-8.3576,7.5382,0,2.93,-1
014940,오리엔탈정공,2024-11-20,4995,4845,KOSDAQ,3578.0,-3.003,0,66,19.1882,3.7075,1.5916,1.5694,7.8653,2,-5.3783,42.1974,-8.3576,91.8812,1,26.32,2
000810,삼성화재,2024-11-20,393500,374000,KOSPI,245700.0,-4.9555,1,96,11.3095,0.9217,1.1125,1.4865,3.1513,2,-0.4005,6.8389,-4.5134,61.9048,1,16.31,5
000815,삼성화재우,2024-11-20,291500,278000,KOSPI,12429.0,-4.6312,21,92,5.104,0.9798,1.2765,1.3344,2.184,3,0.0762,2.5733,-4.5134,53.337,1,11.51,5
017670,SK텔레콤,2024-11-20,59000,56700,KOSPI,158300.0,-3.8983,42,41,0.354,1.0358,0.9643,0.9885,1.7889,3,1.5648,4.5134,-4.5134,16.1885,1,9.17,5
009540,HD한국조선해양,2024-11-20,213000,204000,KOSPI,270353.0,-4.2254,1,72,9.9138,0.9652,0.9967,1.0953,4.3592,4,-1.1449,8.1719,-4.5134,117.0213,1,7.35,3
377450,리파인,2024-11-21,15410,14700,KOSDAQ,2083.0,-4.6074,4,32,5.1502,0.9676,1.0063,0.6126,4.276,4,6.051,14.7963,-7.3401,88.4615,1,14.83,3
138930,BNK금융지주,2024-11-21,10340,9850,KOSPI,61134.0,-4.7389,17,57,5.3476,1.359,0.6626,0.69,2.7411,2,0.4994,7.1394,-3.8899,44.2167,1,20.81,5
